a2,c4,c6,c7,c8,c9,c10,c11,c13,c152,c162,c172,c30a,d30a,d30b,d2
Red River Delta,,No,,,,No,,,No,,,3,1,2,19879443000
Red River Delta,,No,,,,No,,,No,,,2,2,0,4732824000
Red River Delta,5,Yes,4,241,2,No,,,No,,,2,0,,1258000000
Red River Delta,,No,,,,No,,,No,,,1,1,0,9330583000
Red River Delta,,No,,,,No,,,No,,,0,0,0,4236540000
Red River Delta,,No,,,,No,,,No,,,,2,0,307152132000
Red River Delta,,Yes,2,120,,Yes,9,,No,,,4,0,0,4034135000
Red River Delta,,Yes,1,181,,No,,,No,,,2,2,2,1694428000
Red River Delta,,No,,,,No,,,No,,,2,2,0,15376533000
Red River Delta,,No,,,,No,,,No,,,3,1,1,4302531000
Red River Delta,,No,,,,No,,,No,,,0,0,0,6480618000
Red River Delta,,Yes,1,90,,Yes,60,,No,,,0,0,0,52123300000
Red River Delta,,Yes,2,120,,Yes,1,,No,,,0,0,0,47672507000
Red River Delta,,No,,,,No,,,No,,,0,0,0,94901000000
Red River Delta,,Yes,1,90,,Yes,40,,No,,,0,0,0,514338982000
Red River Delta,,No,,,,Yes,80,,No,,,0,0,0,532487408000
Red River Delta,,No,,,,No,,,No,,,0,0,0,11965000
Red River Delta,,Yes,2,75,,No,,,No,,,0,0,0,356057111000
Red River Delta,,Yes,1,165,,Yes,80,,No,,,0,0,0,719646493000
Red River Delta,,No,,,,No,,,No,,,0,0,0,2063158000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,12639000000
Red River Delta,,Yes,1,150,,Yes,100,,No,,,1,1,0,100296000000
Red River Delta,,Yes,2,90,,Yes,80,,No,,,0,1,1,435119000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,123510000000
Red River Delta,,Yes,10,270,0,Yes,70,,No,,,2,0,1,680435000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,4307000000
Red River Delta,,Yes,2,210,0,Yes,80,,No,,,1,0,0,309501492000
Red River Delta,,No,,,,No,,,No,,,0,0,0,15857000000
Red River Delta,,No,,,,Yes,30,,No,,,3,0,0,27000000000
Red River Delta,,Yes,1,90,,No,,,No,,,0,0,0,127878912000
Red River Delta,,No,,,,No,,,No,,,1,0,0,273900000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,9103000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,4211000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,66879000000
Red River Delta,,Yes,1,120,0,Yes,,,No,,,0,0,0,1445725000000
Red River Delta,,Yes,1,30,,No,,,No,,,1,0,0,153627000000
Red River Delta,,Yes,2,210,,No,,,No,,,1,2,0,1152000000
Red River Delta,,Yes,3,61,1,No,,,No,,,3,0,0,7844046000
Red River Delta,,Yes,1,15,,No,,,No,,,1,0,1,351241000000
Red River Delta,,Yes,2,195,,Yes,80,,No,,,3,2,1,718369000000
Red River Delta,,Yes,1,90,,No,,,No,,,0,0,0,23016000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,2963000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,65096000000
Red River Delta,,Yes,1,120,,Yes,40,,No,,,0,0,0,734834000000
Red River Delta,,No,,,,No,,,No,,,2,4,0,13000000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,10747000000
Red River Delta,,Yes,1,120,5,No,,,No,,,0,1,0,1969000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,17554000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,15000000000
Red River Delta,,No,,,,No,,,No,,,0,3,2,64177000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,11585000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,1785623000
Red River Delta,1,Yes,1,240,0,No,,,No,,,0,0,0,7403000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,6603000000
Southeast,,Yes,1,120,3,No,,,No,,,0,0,0,112340116000
Southeast,,No,,,,No,,,No,,,0,0,,41652988000
Southeast,,No,,,,No,,,No,,,1,2,1,90305333000
Southeast,,No,,,,Yes,5,,No,,,0,0,0,86616336000
Southeast,,No,,,,No,,,No,,,0,0,0,11003645000
Southeast,,Yes,1,90,1,No,,,No,,,0,0,0,66587774000
Southeast,,No,,,,Yes,0,,No,,,0,0,,72669809000
Southeast,,Yes,1,20,1,Yes,10,,No,,,1,0,0,1085833000000
Southeast,,Yes,1,15,,Yes,1,,No,,,3,2,2,476972292000
Southeast,,No,,,,Yes,,,No,,,1,2,0,97300319000
Mekong River Delta,,Yes,2,75,,No,,,No,,,0,0,0,11196000000
Southeast,,No,,,,No,,,No,,,1,0,0,280629000
Southeast,,Yes,4,130,,No,,,No,,,1,1,0,854076676000
Southeast,,No,,,,No,,,No,,,0,0,0,22515000000
Southeast,,No,,,,Yes,10,,No,,,0,2,1,90000000000
Southeast,,No,,,,Yes,1,,No,,,3,0,0,146198571000
Southeast,,Yes,2,90,,No,,,No,,,0,0,0,369505621000
Southeast,,No,,,,Yes,0,,No,,,1,1,0,4351862000
Southeast,,No,,,,No,,,No,,,3,1,0,22559526000
Southeast,,Yes,1,480,,No,,,No,,,0,0,,14735159000
Southeast,,Yes,2,75,,No,,,No,,,1,1,1,27783142000
Southeast,,Yes,1,180,,Yes,30,,No,,,0,0,0,8642372000
Southeast,,No,,,,No,,,No,,,0,0,0,25028525000
Southeast,,No,,,,Yes,5,,No,,,4,3,2,1244802000000
Southeast,,No,,,,No,,,No,,,0,0,,6399669000
Southeast,,Yes,1,30,,No,,,No,,,1,1,1,1128600662000
Southeast,,No,,,,No,,,No,,,0,0,0,14115780000
Southeast,,Yes,1,15,,No,,,No,,,0,0,0,589341155000
Southeast,,Yes,3,110,3,No,,,No,,,1,0,0,174624000000
Southeast,,No,,,,Yes,1,,No,,,0,0,0,19207332000
Southeast,,No,,,,Yes,1,,No,,,3,2,0,5771202000000
Southeast,,No,,,,No,,,No,,,0,1,1,262611441000
Southeast,,No,,,,Yes,1,,No,,,3,1,0,32940552000
Southeast,,No,,,,No,,,No,,,0,0,0,3446279000
Southeast,,Yes,2,45,3,No,,,No,,,0,0,0,453833097000
Southeast,,No,,,,No,,,No,,,0,1,1,319917489000
Southeast,,No,,,,Yes,1,,No,,,3,1,2,211042110000
Southeast,2,Yes,1,150,,No,,,No,,,0,0,0,3080595000
Southeast,,No,,,,No,,,No,,,2,3,0,51700575000
Southeast,,No,,,,No,,,No,,,0,0,0,43745000000
Southeast,,No,,,,No,,,No,,,0,0,,42915950000
Southeast,,Yes,1,510,,No,,,No,,,1,0,,2422456000
Southeast,,No,,,,No,,,No,,,0,0,0,414381160000
Southeast,,No,,,,No,,,No,,,0,0,,1214409000
Southeast,5,Yes,1,30,1,No,,,No,,,3,2,,33265931000
Southeast,,No,,,,No,,,No,,,0,0,0,776605898000
Southeast,,No,,,,No,,,No,,,0,0,0,32400726000
Southeast,,Yes,1,240,,No,,,No,,,0,0,0,10952849000
Southeast,7,No,,,,No,,,No,,,0,0,0,23000000000
Southeast,,No,,,,No,,,No,,,0,0,,1900034000
Mekong River Delta,,Yes,1,255,,Yes,100,,No,,,0,0,0,4042885000000
Southeast,,Yes,1,50,,No,,,No,,,0,0,1,1172114316000
Southeast,,No,,,,No,,,No,,,0,0,,53511299000
Southeast,,Yes,1,600,,No,,,No,,,0,0,0,22264685000
Southeast,,No,,,,No,,,No,,,0,0,0,5821775000
Southeast,,No,,,,No,,,No,,,0,0,0,12207238000
Southeast,,Yes,1,300,,No,,,No,,,0,0,0,21775679000
Southeast,,Yes,12,45,,No,,,No,,,0,0,0,1317439000
Southeast,,No,,,,No,,,No,,,0,0,0,2240484000000
Southeast,,Yes,2,5,,Yes,3,,No,,,0,0,0,28451375000
Southeast,,No,,,,Yes,1,,No,,,3,2,1,92289279000
Southeast,,Yes,3,300,3,No,,,No,,,3,1,0,29424039000
Southeast,,No,,,,No,,,No,,,2,0,0,92167892000
Southeast,,Yes,2,300,,Yes,0,,No,,,0,0,0,11860747000
Southeast,,No,,,,No,,,No,,,0,0,0,27571304000
Southeast,,No,,,,No,,,No,,,1,0,0,3149611000
Southeast,,No,,,,No,,,No,,,0,0,0,415016000
Southeast,,No,,,,No,,,No,,,0,0,0,196842000
Southeast,,Yes,1,65,,No,,,No,,,0,0,0,44000462000
Southeast,,No,,,,No,,,No,,,0,0,0,60148740000
Southeast,,Yes,0,,,No,,60,No,,,2,1,1,10000000000
Southeast,,Yes,1,15,1,No,,,No,,,3,2,1,51542175000
Southeast,,No,,,,Yes,0,,No,,,0,0,,1690279000
Southeast,,No,,,,No,,,No,,,1,0,0,133698000
Southeast,,No,,,,No,,,No,,,0,0,0,339894000
Southeast,,No,,,,No,,,No,,,0,0,0,12123630000
Southeast,,No,,,,No,,,No,,,0,0,0,615538426000
Southeast,,Yes,0,,,No,,,No,,,0,0,0,65015194000
Southeast,10,Yes,1,60,,No,,,No,,,0,0,,31029858000
Southeast,,No,,,,No,,,No,,,,1,,38268427000
Southeast,,No,,,,No,,,No,,,0,0,0,20411429000
Southeast,,No,,,,No,,,No,,,0,0,0,7091349000
Southeast,,Yes,1,720,,No,,,No,,,0,0,0,2753370000
Southeast,,No,,,,No,,,No,,,0,0,0,13176113000
Southeast,,No,,,,No,,,No,,,3,1,0,9417606000
Southeast,,No,,,,No,,,No,,,1,1,,164016889000
Southeast,,No,,,,Yes,1,,No,,,3,1,1,22436848000
Southeast,,Yes,1,30,,No,,,No,,,0,0,0,27154439000
Southeast,,Yes,1,30,2,Yes,3,,No,,,3,1,1,200122887000
Southeast,,No,,,,No,,,No,,,0,0,0,473048405000
Southeast,,Yes,4,130,,No,,,No,,,1,0,0,789525295000
Southeast,,Yes,1,240,,No,,,No,,,0,0,0,1492363000
Southeast,,No,,,,No,,,No,,,0,0,0,477967000
Southeast,,No,,,,No,,,No,,,0,0,0,1656363000
Southeast,,Yes,1,240,,No,,,No,,,0,0,0,7534789000
Southeast,,No,,,,No,,,No,,,0,0,,3586960000
Southeast,,Yes,1,300,,No,,,No,,,0,0,0,43583154000
Southeast,,Yes,1,40,,No,,,No,,,0,0,0,14539174000
Southeast,,Yes,4,150,0,No,,,No,,,0,0,0,9642136000
Southeast,,No,,,,No,,,No,,,0,0,0,36262304000
Southeast,,Yes,1,10,,No,,,No,,,0,0,0,18363055000
Southeast,,Yes,1,300,,No,,,No,,,0,0,0,19271348000
Southeast,,No,,,,No,,,No,,,0,0,0,199748000000
Southeast,,No,,,,,,,No,,,0,2,3,42000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,480,,Yes,10,,No,,,1,2,0,937926894000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,1,0,30000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,495,,No,,,No,,,0,0,,12103589000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,480,,No,,,No,,,0,0,0,4301911000000
"Northern Central region, the Central Coast, Central Highlands",3,Yes,0,,,No,,,No,,,3,1,0,9000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,490,,No,,,No,,,0,0,0,12158879000
Red River Delta,,Yes,2,90,10,No,,,No,,,2,1,0,891038092000
Red River Delta,,Yes,1,240,,Yes,,,No,,,3,2,2,569488081000
Red River Delta,,Yes,1,150,,No,,,No,,,3,2,2,15284968000
Red River Delta,,No,,,,No,,,No,,,,,,51542578000
Red River Delta,,Yes,1,360,1,Yes,5,7,No,,,2,2,2,300000000000
Red River Delta,,No,,,,No,,,No,,,1,1,2,80000000000
Red River Delta,,Yes,1,60,,Yes,100,,,,,2,2,2,100000000000
Red River Delta,,No,,,,No,,,No,,,3,2,0,88383141000
Red River Delta,,Yes,5,75,10,No,,,No,,,2,3,2,171464384000
Red River Delta,,No,,,,No,,,No,,,0,0,0,12961512000
Red River Delta,,No,,,,No,,,No,,,3,2,2,34433153000
Red River Delta,15,Yes,2,60,3,No,,,No,,,3,2,0,26366697000
Red River Delta,,Yes,1,30,1,No,,,Yes,2,2,4,3,2,638837680000
Red River Delta,,No,,,,No,,,No,,,0,0,0,88499262000
Red River Delta,,No,,,,No,,,No,,,3,2,2,49565871000
Red River Delta,,No,,,,No,,,No,,,3,0,0,5756808000
Red River Delta,,No,,,,No,,,No,,,3,0,0,68343815000
Red River Delta,,Yes,1,30,,Yes,1,,No,,,3,1,0,120000000000
Red River Delta,,Yes,1,120,,No,,,No,,,0,0,0,220000000000
Red River Delta,,No,,,,No,,,No,,,1,1,1,12501000000
Red River Delta,,Yes,1,190,,No,,,No,,,4,1,0,113991610000
Red River Delta,,No,,,,No,,,No,,,2,2,2,7287273000
Red River Delta,,Yes,2,210,5,Yes,5,,No,,,2,0,0,1944699000000
Red River Delta,,Yes,3,195,,No,,,No,,,0,0,0,22217978000
Red River Delta,,Yes,5,75,2,Yes,5,,No,,,0,0,0,17742000000
Red River Delta,,No,,,,No,,,No,,,2,2,2,766261323000
Red River Delta,,Yes,8,240,20,No,,,No,,,3,4,4,648817000000
Red River Delta,,No,,,,No,,,No,,,0,3,0,300000000
Red River Delta,,Yes,2,250,,No,,,No,,,2,1,0,62279000000
Red River Delta,,Yes,2,15,,No,,,No,,,0,0,0,83473806000
Red River Delta,,No,,,,No,,,No,,,4,4,4,267373688000
Red River Delta,,Yes,3,240,,No,,,No,,,1,1,0,62524000000
Red River Delta,,Yes,2,20,10,No,,,No,,,0,0,0,47780000000
Red River Delta,,No,,,,No,,,No,,,0,1,0,80000000000
Red River Delta,,Yes,2,250,,No,,,No,,,1,1,0,381692000
Red River Delta,,Yes,5,200,,No,,,No,,,0,0,0,36747000000
Red River Delta,,Yes,3,140,,No,,,No,,,0,0,0,1449930000
Red River Delta,,No,,,,No,,,No,,,2,2,1,4820098000
Red River Delta,,No,,,,No,,,No,,,1,1,1,748357000
Red River Delta,,Yes,5,150,5,No,,,No,,,1,0,0,315277000000
Red River Delta,,No,,,,No,,,No,,,4,4,4,124625000000
Red River Delta,,Yes,,,5,No,,,No,,,4,4,4,53892000000
Red River Delta,,Yes,1,210,,No,,,No,,,0,0,,1147000000
Red River Delta,,No,,,,No,,,No,,,2,2,2,386514000
Red River Delta,,No,,,,No,,,No,,,2,2,1,3345144000
Red River Delta,,No,,,,No,,,No,,,1,1,2,48823697000
Red River Delta,,No,,,,No,,,No,,,0,0,0,50000000000
Red River Delta,15,No,,,,No,,7,No,,,2,1,1,27457969000
Red River Delta,,Yes,,,,No,,,No,,,2,3,1,296000000
Mekong River Delta,,Yes,2,360,,No,,,No,,,1,1,1,822163000000
Mekong River Delta,,Yes,2,80,,No,,,No,,,4,3,1,4002439000000
Mekong River Delta,,Yes,3,255,,No,,,No,,,0,0,0,11400000000
Mekong River Delta,,Yes,2,90,,No,,,No,,,0,0,0,128200000000
Mekong River Delta,,Yes,3,135,,No,,,No,,,0,0,0,571000000
Mekong River Delta,,Yes,4,90,,No,,,No,,,0,0,0,41300000000
Mekong River Delta,,Yes,1,135,,No,,,No,,,0,0,0,5154000000
Mekong River Delta,,Yes,2,60,,No,,,No,,,0,0,0,201600000000
Mekong River Delta,,Yes,3,135,,No,,,No,,,0,0,0,9400000000
Mekong River Delta,,No,,,,No,,,No,,,3,1,1,60498042000
Mekong River Delta,,Yes,1,180,,No,,,No,,,1,2,1,624215000000
Mekong River Delta,,Yes,1,145,,No,,,No,,,4,2,2,692476000000
Mekong River Delta,,Yes,3,135,,No,,,No,,,0,0,0,70600000000
Mekong River Delta,,Yes,2,120,,No,,,No,,,1,2,0,62113000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,62960000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,12072000000
Mekong River Delta,,Yes,2,75,,No,,,No,,,0,0,0,8096000000
Mekong River Delta,,Yes,2,75,,No,,,No,,,0,0,0,373100000000
Mekong River Delta,,Yes,2,75,,No,,,No,,,0,0,0,147700000000
Mekong River Delta,,Yes,1,120,,No,,,No,,,2,2,2,916364000
Mekong River Delta,,Yes,3,75,,No,,,No,,,0,0,0,28800000000
Mekong River Delta,,No,,,,No,,,No,,,3,2,2,37678000000
Mekong River Delta,,Yes,1,600,3,No,,,No,,,2,0,,97535591000
Mekong River Delta,,Yes,1,480,,Yes,100,,No,,,1,2,,69810142000
Mekong River Delta,7,No,,,,No,,7,No,,,3,4,2,226519000000
Mekong River Delta,,No,,,,No,,,No,,,4,4,3,377470000000
Mekong River Delta,7,No,,,,No,,7,No,,,4,2,2,506722000000
Mekong River Delta,14,Yes,0,,,No,,,Yes,0,,0,0,0,428000000
Mekong River Delta,7,Yes,1,600,,Yes,100,7,No,,,1,0,,153268000000
Mekong River Delta,7,No,,,,No,,3,No,,,3,4,4,41170000000
Mekong River Delta,,Yes,1,600,,No,,,No,,,1,1,0,4641000000
Mekong River Delta,,Yes,1,240,1,Yes,50,,No,,,1,2,1,24000000000
Mekong River Delta,,No,,,,Yes,,,No,,,1,0,0,23529295000
Mekong River Delta,,Yes,1,720,,Yes,90,,No,,,2,0,0,284356375000
Mekong River Delta,,Yes,1,390,,Yes,60,,No,,,0,4,,90268154000
Mekong River Delta,,Yes,1,360,,Yes,25,,No,,,0,0,0,1752634000
Mekong River Delta,30,Yes,2,640,10,No,,,No,,,2,1,,2473880000
Mekong River Delta,15,No,,,,No,,,No,,,,,,153392274000
Mekong River Delta,,Yes,,,,No,,,No,,,4,3,3,422647000000
Mekong River Delta,,Yes,1,180,,No,,,No,,,1,4,1,9735555000
Mekong River Delta,,Yes,2,240,,Yes,70,2,Yes,1,4,4,0,0,613546000000
Mekong River Delta,,No,,,,Yes,2,,No,,,1,1,0,1125000000
Mekong River Delta,,No,,,,Yes,50,,No,,,0,0,0,7598237000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,11062000000
Mekong River Delta,,No,,,,No,,,No,,,0,1,0,86141000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,2113000000
Mekong River Delta,,No,,,,Yes,5,,No,,,0,0,0,503344000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,1325161000000
Mekong River Delta,,Yes,5,1,,No,,,No,,,0,0,0,7000000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,47883000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,1621000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,87248000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,6070000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,23882000000
Mekong River Delta,,No,,,,No,,,No,,,0,1,1,57268000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,16100000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,970370000000
Mekong River Delta,,Yes,1,270,,Yes,30,,No,,,0,0,0,1622482000
Mekong River Delta,,No,,,,No,,,No,,,0,1,0,775700000
Mekong River Delta,10,No,,,,No,,,No,,,0,3,3,1850000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,18524755000
Red River Delta,,Yes,0,,,No,,,No,,,1,3,2,30000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,1,1,1,305290140000
Northern Midlands and Mountains,,No,,,,No,,,No,,,2,1,1,39724632000
Red River Delta,,Yes,1,240,,No,,,No,,,0,0,0,10000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,70629862000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,2,0,17979915000
Northern Midlands and Mountains,,Yes,3,361,0,No,,,No,,,1,2,0,1140344414000
Northern Midlands and Mountains,,No,,,,No,,,No,,,3,2,,92154250000
Northern Midlands and Mountains,,Yes,1,180,0,Yes,5,,Yes,0,,2,1,1,27000000000
Northern Midlands and Mountains,,No,,,,Yes,10,,No,,,0,0,0,5784000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,2,1137413216000
Northern Midlands and Mountains,,No,,,,Yes,,,No,,,3,1,1,372281345000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,1,1,14214611000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,363430672000
Northern Midlands and Mountains,,Yes,5,241,,No,,,No,,,2,0,0,8534700000
Northern Midlands and Mountains,,Yes,5,260,0,No,,,No,,,1,1,1,164394182000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,1,1,39829618000
Northern Midlands and Mountains,7,Yes,0,,0,Yes,0,7,No,,,0,1,2,250000000000
Northern Midlands and Mountains,,No,,,,Yes,,Still in process,No,,,0,0,0,24476803000
Northern Midlands and Mountains,,Yes,2,30,3,No,,,No,,,1,1,0,30000000000
Northern Midlands and Mountains,,Yes,2,153,,No,,,No,,,2,1,0,70416670000
Northern Midlands and Mountains,,No,,,,No,,,No,,,3,0,0,3444530000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,85074979000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,921001455000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,4839732000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,2749572000
Northern Midlands and Mountains,,No,,,,No,,,No,,,4,0,0,112000000000
Northern Midlands and Mountains,,Yes,3,481,,No,,,No,,,1,1,1,69571857000
Northern Midlands and Mountains,25,Yes,0,,,Yes,0,7,No,,,1,2,2,116000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,3,0,0,12150582000
Northern Midlands and Mountains,,No,,,,Yes,15,,No,,,0,0,0,157000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,263722200000
Northern Midlands and Mountains,,Yes,5,301,0,No,,,No,,,2,1,1,2749572000
Northern Midlands and Mountains,,No,,,,No,,,No,,,1,0,0,16000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,1,1,1,378085253000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,1,0,12374710000
Northern Midlands and Mountains,,Yes,0,,,Yes,0,,No,,,0,2,1,20000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,1,0,29338729000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,25522818000
Northern Midlands and Mountains,7,Yes,0,,0,No,,7,No,,,2,1,2,20000000000
Northern Midlands and Mountains,,No,,,,Yes,15,,No,,,1,0,0,6731267000
Northern Midlands and Mountains,,Yes,5,361,,Yes,2,,No,,,1,1,0,1353356208000
Northern Midlands and Mountains,,No,,,,No,,,No,,,1,0,0,4739857000
Northern Midlands and Mountains,,Yes,6,330,0,Yes,10,,No,,,2,1,0,74706401000
Northern Midlands and Mountains,,No,,,,No,,,No,,,1,0,0,400000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,1,1,1,13460705000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,656438683000
Northern Midlands and Mountains,,No,,,,No,,,No,,,3,0,0,19031165000
Northern Midlands and Mountains,,No,,,,No,,,No,,,1,0,0,2857418000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,1,0,4022000000
Northern Midlands and Mountains,,Yes,5,320,1,No,,,No,,,1,1,0,21631351000
Red River Delta,,Yes,2,1440,,Yes,40,,No,,,0,1,1,200000000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,16000000000
Northern Midlands and Mountains,,Yes,2,61,,Yes,,,No,,,2,2,,2000000000
Northern Midlands and Mountains,,Yes,,,,No,,,No,,,3,2,,12000000000
Northern Midlands and Mountains,,Yes,1,240,,Yes,4,5,No,,,0,0,,43500000000
Northern Midlands and Mountains,,Yes,,,,Yes,10,,No,,,2,3,,150000000000
Northern Midlands and Mountains,7,Yes,2,602,,Yes,10,,No,,,2,4,,400000000000
Northern Midlands and Mountains,,Yes,,,,No,,,No,,,1,0,,6000000000
Northern Midlands and Mountains,,Yes,0,,,Yes,5,,Yes,0,,2,3,2,70000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,2,0,,1750000000
Northern Midlands and Mountains,3,Yes,1,60,1,No,,,No,,,2,0,0,40000000000
Northern Midlands and Mountains,,Yes,2,181,,Yes,,,No,,,3,0,0,50000000000
Northern Midlands and Mountains,,Yes,1,120,,Yes,,,No,,,1,2,,22000000000
Northern Midlands and Mountains,,Yes,1,30,,No,,,No,,,1,1,0,1000000000
Northern Midlands and Mountains,,Yes,1,120,,Yes,10,,No,,,0,0,,5000000000
Northern Midlands and Mountains,3,Yes,,,,No,,,No,,,2,0,,78000000000
Northern Midlands and Mountains,,Yes,,,,Yes,,,No,,,3,0,,25000000000
Northern Midlands and Mountains,3,No,,,,No,,,No,,,3,0,,1600000000
Northern Midlands and Mountains,,Yes,,,,Yes,10,,No,,,2,1,,10000000000
Northern Midlands and Mountains,,Yes,1,120,,Yes,2,,No,,,0,0,,32000000000
Northern Midlands and Mountains,,Yes,0,,,Yes,10,,No,,,3,2,3,140000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,3,1,,1000000000000
Northern Midlands and Mountains,,Yes,,,,Yes,,,No,,,0,3,,6000000000
Red River Delta,,No,,,,No,,,No,,,3,0,0,1524132000
Red River Delta,,No,,,,No,,,No,,,4,0,2,115705154000
Red River Delta,,No,,,,No,,,No,,,3,3,0,31975987000
Red River Delta,,Yes,2,481,,No,,,No,,,4,0,0,31118984000
Red River Delta,7,Yes,1,481,,No,,,No,,,4,0,0,104536332000
Red River Delta,,Yes,2,241,,No,,,No,,,4,2,2,68187129000
Red River Delta,,No,,,,No,,,No,,,4,2,2,74723268000
Red River Delta,,Yes,3,480,,No,,,No,,,3,3,1,2017163000
Red River Delta,,Yes,1,480,,Yes,,,No,,,4,0,0,242883765000
Red River Delta,,Yes,1,241,,No,,,No,,,3,1,0,17619560000
Red River Delta,,Yes,2,1,,No,,,Yes,3,,3,0,0,13733558000
Red River Delta,,Yes,2,121,,No,,,No,,,4,0,0,54872312000
Red River Delta,,Yes,2,121,1,No,,,No,,,4,1,3,15378765000
Red River Delta,,Yes,2,1,,No,,,No,,,4,2,1,29434502000
Red River Delta,,Yes,1,1,,No,,,No,,,3,1,0,8397952000
Red River Delta,,Yes,1,241,,No,,,No,,,4,0,0,1779634000
Red River Delta,,No,,,,No,,,No,,,3,0,0,5703068000
Red River Delta,,Yes,3,241,,No,,,No,,,4,0,1,6592201000
Red River Delta,,No,,,,No,,,No,,,3,2,0,10234728000
Red River Delta,,Yes,2,240,,No,,,No,,,3,0,0,546643000
Red River Delta,,No,,,,No,,,No,,,4,0,0,426320000
Red River Delta,,Yes,2,481,,No,,,No,,,4,0,2,8336908000
Red River Delta,,Yes,2,481,,No,,,No,,,4,0,2,11996643000
Red River Delta,,Yes,2,481,,No,,,No,,,3,0,0,304918000
"Northern Central region, the Central Coast, Central Highlands",,Yes,10,720,0,Yes,100,,No,,,3,3,0,4123000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,744,0,Yes,1,,No,,,3,1,1,669158723000
