a2,c4,c6,c7,c8,c9,c10,c11,c13,c152,c162,c172,c30a,d30a,d30b,d2
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,720,0,Yes,1,,No,,,1,1,0,1387026884000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,4,0,0,27600000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,185,0,Yes,1,,No,,,1,0,0,826984401000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,150,5,Yes,10,,No,,,1,1,0,1200000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,54168778000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,1,,No,,,No,,,0,0,0,161534220000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,120,,Yes,2,,No,,,1,0,0,18533039000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,931980000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,1,0,37918512000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,1,1,Yes,1,,No,,,2,1,,102653414000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,70,,Yes,1,,No,,,0,0,,22437332000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,325,,Yes,80,,No,,,1,1,1,34436000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,,,,No,,,No,,,3,2,2,348000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,4,395,,Yes,80,,No,,,1,1,1,87799000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,600,,No,,,No,,,0,0,0,1755701000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,3,0,2,12565048000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,120,,No,,,No,,,3,0,0,4548888000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,1,,No,,,No,,,4,3,1,5103346000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,30,0,Yes,5,,No,,,4,0,0,635815483000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,39658985000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,1,1677520000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,600,,No,,,No,,,1,0,0,13603107000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,2,3,0,14000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,,,Yes,,,No,,,3,0,0,2485896000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,2591000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,Yes,100,,No,,,0,0,0,1585484386000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,1,1,1,22928599000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,255,,No,,,No,,,2,2,,1337253000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,180,1,Yes,15,,No,,,1,0,0,53983511000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,3,2,2,1929822000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,130,,No,,,No,,,0,1,0,113000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,8628373000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,,15991000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,600,0,No,,,No,,,3,0,1,27543869000
"Northern Central region, the Central Coast, Central Highlands",,Yes,,,,Yes,0,,No,,,3,1,1,620963578000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,Yes,,,No,,,3,2,2,1018742000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,0,Yes,5,,No,,,1,1,0,3200000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,,,No,,,No,,,2,2,2,24306779000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,480,,No,,,No,,,1,1,0,3139721000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,469454000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,1,1,0,86334079000
"Northern Central region, the Central Coast, Central Highlands",15,Yes,1,240,1,Yes,20,,No,,,3,1,0,14000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,30,,No,,,No,,,4,0,0,11882809000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,1,,No,,,No,,,2,0,0,16167267000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,1,,No,,,No,,,3,0,0,1255324930000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,1,,No,,,No,,,1,0,0,273700194000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,503142325000
"Northern Central region, the Central Coast, Central Highlands",,Yes,4,1,,No,,,No,,,1,0,0,47233443000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,Yes,50,,No,,,0,1,0,301955178000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,3200791000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,3986496000
"Northern Central region, the Central Coast, Central Highlands",3,Yes,1,50,,No,,,No,,,1,0,1,35758373000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,1,,No,,,No,,,2,0,0,95349725000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,61,,No,,,No,,,1,0,0,13382299000
"Northern Central region, the Central Coast, Central Highlands",,Yes,4,1,,No,,,No,,,3,0,1,13371163000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,160991000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,1,,No,,,No,,,1,0,1,19949500000
"Northern Central region, the Central Coast, Central Highlands",30,No,,,,Yes,2,,No,,,2,2,0,88549000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,1,,No,,,No,,,2,0,0,113689082000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,1,0,0,20902000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,1,,No,,,No,,,3,0,0,6472724000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,472491935000
"Northern Central region, the Central Coast, Central Highlands",,Yes,4,1,,No,,,No,,,2,0,0,3245737000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,1,0,0,989719000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,1744166000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,1,,No,,,No,,,2,0,1,35904329000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,1,,No,,,No,,,2,0,0,7552664000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,30,1,No,,2,No,,,4,2,1,10000000000
"Northern Central region, the Central Coast, Central Highlands",,,,,,Yes,65,,No,,,0,0,0,4559810000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,1,,No,,,No,,,3,0,0,302317979000
"Northern Central region, the Central Coast, Central Highlands",,Yes,3,1,,No,,,No,,,3,1,0,5280884000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,1,,No,,,No,,,0,1,1,83692621000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,1,,No,,,No,,,3,0,0,3300000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,1,,No,,,No,,,2,0,1,84162657000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,,1513232000
"Northern Central region, the Central Coast, Central Highlands",,Yes,5,1,,No,,,No,,,3,0,1,49926839000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,599583000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,1,,No,,,No,,,1,1,1,736497056000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,1,1,316835059000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,1,0,39172458000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,840345000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,Yes,50,,No,,,0,1,1,251178745000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,3141038000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,3752708000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,1,11056091000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,7995798000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,2,0,0,920390000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,3,0,0,2441509000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,178,2,No,,,No,,,0,0,0,141752000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,,Yes,1,,No,,,3,3,3,138000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,20000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,198724642000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,4250050000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,3600000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,9700000000
"Northern Central region, the Central Coast, Central Highlands",15,Yes,0,,,Yes,1,1,No,,,2,2,1,1600000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,10000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,3,0,15000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,,Yes,,,No,,,0,0,0,5000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,2,4,,350000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,1,8000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,1,1,0,11000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,,No,,,No,,,0,0,0,4000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,,,,Yes,,,No,,,0,2,,150000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,30,1,No,,,No,,,4,0,0,6000000000
Southeast,,Yes,2,30,,No,,,No,,,3,1,3,192943000000
Southeast,,Yes,,,,Yes,80,,No,,,2,2,2,330319651000
Southeast,,Yes,1,470,,Yes,60,,No,,,1,1,,300201200000
Southeast,3,Yes,1,485,,Yes,60,3,No,,,1,1,2,20684407000000
Southeast,,No,,,,No,,,No,,,3,0,1,1126000000
Southeast,,Yes,1,485,,Yes,80,,No,,,3,2,2,91004924000
Southeast,,Yes,1,500,,No,,,No,,,2,1,0,42819783000
Southeast,,Yes,2,120,,No,,,No,,,0,0,0,28177000000
Southeast,,Yes,1,485,,No,,,No,,,1,1,1,49171464000
Southeast,,No,,,,No,,,No,,,0,0,0,440000000
Southeast,,Yes,1,130,,Yes,80,,No,,,3,2,1,2738258000000
Southeast,,Yes,1,90,,No,,,No,,,0,2,2,94580000000
Southeast,,No,,,,No,,,No,,,0,0,0,38391108000
Southeast,,Yes,1,150,,Yes,1,,No,,,0,1,1,1593198000000
Southeast,,Yes,1,210,,No,,,No,,,0,1,,16612526000
Southeast,,Yes,,,,No,,,No,,,3,0,0,4650000000
Southeast,,Yes,1,180,,No,,,No,,,1,1,0,36990000000
Southeast,,No,,,,No,,,No,,,1,0,0,13878647000
Southeast,,No,,,,No,,,No,,,0,0,0,2276831000
Southeast,,No,,,,No,,,No,,,3,1,,9563821000
Southeast,,No,,,,No,,,No,,,0,0,0,5799807000
Southeast,,Yes,1,50,,No,,,No,,,0,1,1,15472000000
Southeast,,No,,,,No,,,No,,,0,0,,15093229000
Southeast,1,Yes,1,322,,No,,,No,,,4,3,2,1569290000
Southeast,,Yes,2,5,,Yes,2,,No,,,0,2,0,5536141000
Southeast,,Yes,2,5,,Yes,2,,No,,,0,2,0,4723143000
Southeast,,Yes,1,5,,Yes,2,,No,,,0,1,0,253444705000
Southeast,,Yes,2,5,,Yes,3,,No,,,0,0,0,12546809000
Southeast,,Yes,1,5,,Yes,2,,No,,,0,0,0,84590932000
Southeast,,Yes,1,10,,Yes,2,,No,,,0,0,0,234362609000
Southeast,,Yes,1,15,,Yes,6,,No,,,0,0,0,77999265000
Southeast,,Yes,1,10,,Yes,2,,No,,,0,0,0,182565453000
Southeast,,Yes,2,10,,Yes,2,,No,,,0,0,0,160105592000
Southeast,,Yes,1,10,,Yes,1,,No,,,0,0,0,175971911000
Southeast,,Yes,1,10,,Yes,2,,No,,,0,0,0,98772710000
Southeast,,Yes,2,5,,Yes,2,,No,,,0,0,0,16647372000
Southeast,,Yes,1,1,,Yes,1,,No,,,0,0,0,465211964000
Southeast,,Yes,2,5,,Yes,2,,No,,,0,1,0,222886001000
Southeast,,Yes,1,5,,Yes,2,,No,,,0,0,0,11976591000
Southeast,,Yes,2,10,,Yes,2,,No,,,0,0,0,33018359000
Southeast,,Yes,1,6,,Yes,2,,No,,,0,1,0,7681399000
Southeast,,No,,,,No,,,No,,,0,0,0,4438486000
Southeast,,Yes,1,15,,Yes,5,,No,,,1,1,,11118148000
Southeast,,Yes,1,5,,Yes,1,,No,,,0,1,0,2848667000
Southeast,,Yes,1,5,,Yes,1,,No,,,0,0,0,4473318000
Southeast,,Yes,1,10,,Yes,1,,No,,,0,0,0,1189614841000
Southeast,,Yes,1,5,,Yes,1,,No,,,0,2,0,106000000
Southeast,,Yes,1,10,,Yes,1,,No,,,0,0,0,130747660000
Southeast,,Yes,1,5,,Yes,1,,No,,,,2,0,34330377000
Southeast,,Yes,2,5,,Yes,2,,No,,,0,0,0,436440000
Southeast,,Yes,1,5,,Yes,2,,No,,,0,0,0,273593632000
Southeast,,Yes,0,,,Yes,,,No,,,1,4,4,800000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,241,,Yes,5,,No,,,0,0,0,290815867000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,1,0,56094791000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,Yes,20,,No,,,0,0,0,404537873000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,1,1,61203180000
"Northern Central region, the Central Coast, Central Highlands",10,No,,,,No,,10,No,,,1,2,2,3834000000
"Northern Central region, the Central Coast, Central Highlands",10,Yes,1,5,,No,,9,No,,,0,1,2,54203545000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,1,1,0,15541408000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,10036287000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,1,1,0,17855632000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,1,0,1818181000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,,3074719000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,240,,No,,,No,,,0,0,0,27594765000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,3,2,1,887749752000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,Yes,2,,No,,,0,0,0,1789381000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,30,No,,,0,0,0,3878271000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,1,0,2967616000
"Northern Central region, the Central Coast, Central Highlands",5,No,,,,No,,,No,,,0,0,0,8827056000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,,No,,,No,,,2,0,0,1500000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,4,600,,No,,,No,,,3,0,3,5999000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,265233324000
Northern Midlands and Mountains,,Yes,2,30,2,Yes,50,,No,,,3,1,0,1253461000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,1,1,2,1053051484000
Northern Midlands and Mountains,,No,,,,No,,,No,,,3,3,3,4836111000000
Northern Midlands and Mountains,,Yes,2,30,,No,,,No,,,0,0,0,234475021000
Northern Midlands and Mountains,,Yes,3,480,3,No,,,No,,,2,2,1,16000000000
Northern Midlands and Mountains,2,No,,,,No,,,No,,,3,0,1,1462874000
Northern Midlands and Mountains,,Yes,0,,,No,,,No,,,1,0,0,6000000000
Northern Midlands and Mountains,,Yes,0,,,Yes,,,No,,,1,0,0,1800000000000
Northern Midlands and Mountains,,Yes,4,60,,Yes,5,,No,,,3,3,3,2000000000
Northern Midlands and Mountains,,Yes,,,,Yes,5,,No,,,4,4,4,120000000000
Northern Midlands and Mountains,7,Yes,2,30,1,No,,7,No,,,3,2,,12000000000
Northern Midlands and Mountains,,Yes,1,181,,No,,,No,,,1,0,1,9674924000
Northern Midlands and Mountains,,Yes,,,,No,,,No,,,3,0,0,8814897000
Northern Midlands and Mountains,,Yes,0,,,No,,30,No,,,2,0,0,148000000000
Northern Midlands and Mountains,,Yes,2,40,,Yes,70,,No,,,1,1,0,55143202000
Northern Midlands and Mountains,,No,,,,No,,,No,,,3,3,2,233843126000
Northern Midlands and Mountains,,Yes,,,4,No,,,No,,,3,0,0,4727285000
Northern Midlands and Mountains,,Yes,1,60,3,No,,,No,,,1,2,1,3200000000
Northern Midlands and Mountains,,Yes,,,,No,,,No,,,1,1,0,6320788000
Northern Midlands and Mountains,,Yes,1,61,,No,,,No,,,1,0,0,18065035000
Northern Midlands and Mountains,,Yes,10,,,,,,No,,,2,2,0,10000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,2,0,0,23538830000
Northern Midlands and Mountains,2,Yes,5,61,5,No,,,No,,,1,1,0,24536900000
Northern Midlands and Mountains,,No,,,,Yes,80,,No,,,3,3,3,
Northern Midlands and Mountains,,Yes,,,,Yes,60,,No,,,3,3,2,110745640000
Northern Midlands and Mountains,7,Yes,1,360,1,Yes,10,3,No,,,2,3,3,10000000000
Northern Midlands and Mountains,,Yes,1,60,,Yes,1,,No,,,0,0,0,120000000000
Northern Midlands and Mountains,,Yes,1,45,2,No,,,No,,,3,2,1,25587693000
Northern Midlands and Mountains,,No,,,,No,,,No,,,2,0,0,470442600000
Northern Midlands and Mountains,,Yes,7,1800,1,Yes,5,,No,,,1,0,0,354816085000
Northern Midlands and Mountains,,Yes,0,,1,Yes,5,,No,,,2,3,2,240000000000
Northern Midlands and Mountains,,Yes,1,60,5,No,,,No,,,3,2,2,50000000000
Northern Midlands and Mountains,,Yes,1,110,1,Yes,10,,No,,,3,4,2,10000000000
Northern Midlands and Mountains,,Yes,0,,,No,,,No,,,2,3,2,7000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,5557000000
Northern Midlands and Mountains,7,No,,,,No,,7,No,,,0,0,0,62500000000
Northern Midlands and Mountains,3,Yes,1,480,,No,,3,No,,,0,3,,350000000000
Northern Midlands and Mountains,,Yes,0,,,Yes,,,No,,,2,0,0,62000000000
Northern Midlands and Mountains,5,Yes,1,240,,No,,,No,,,3,0,,17000000000
Northern Midlands and Mountains,,Yes,,,,No,,,No,,,2,1,,60000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,0,0,0,1800000000
Northern Midlands and Mountains,,Yes,0,,,Yes,0,,No,,,0,0,0,205000000000
Northern Midlands and Mountains,,Yes,0,,,Yes,0,,No,,,4,0,0,238000000000
Northern Midlands and Mountains,,Yes,1,60,,Yes,,,No,,,4,2,0,50000000000
Northern Midlands and Mountains,,Yes,0,,,Yes,0,,No,,,0,2,1,2013110000000
Northern Midlands and Mountains,3,Yes,0,,,Yes,0,,No,,,2,4,2,127998000000
Northern Midlands and Mountains,5,Yes,0,,,No,,3,No,,,0,1,1,394000000000
Northern Midlands and Mountains,2,Yes,0,,,No,,1,No,,,3,0,0,5000000000
Northern Midlands and Mountains,,Yes,2,720,,No,,,No,,,2,2,2,7000000000
Northern Midlands and Mountains,,Yes,1,240,,No,,,No,,,1,0,0,2100000000
Northern Midlands and Mountains,,Yes,1,120,1,Yes,10,,No,,,2,1,0,32000000000
Northern Midlands and Mountains,,Yes,1,300,1,Yes,5,,No,,,3,3,3,100000000000
Northern Midlands and Mountains,,Yes,0,,,No,,,No,,,0,2,0,17000000000
Northern Midlands and Mountains,60,No,,,,Yes,20,10,No,,,0,3,0,30000000000
Northern Midlands and Mountains,,No,,,,No,,,No,,,2,2,,15000000000
Northern Midlands and Mountains,3,Yes,0,,,No,,4,No,,,1,1,0,47000000000
Red River Delta,,No,,,,No,,,No,,,3,0,0,194140595000
Red River Delta,,Yes,1,301,5,No,,,No,,,3,1,0,174716587000
Red River Delta,,No,,,,No,,,No,,,3,0,0,10997686000000
Red River Delta,,Yes,1,1,,Yes,1,,No,,,3,1,0,27719510000
Red River Delta,,No,,,,No,,,No,,,3,1,,4955841000
Red River Delta,1,Yes,1,120,1,No,,,No,,,3,0,0,202847105000
Red River Delta,,No,,,,No,,,No,,,2,0,0,30323253000
Red River Delta,,No,,,,No,,,No,,,,1,1,69541715000
Red River Delta,,No,,,,No,,,No,,,1,,,34309699000
Red River Delta,,No,,,,No,,,No,,,0,2,0,4913167000
Red River Delta,,No,,,,No,,,No,,,2,0,0,44390607000
Red River Delta,,No,,,,No,,,No,,,1,1,0,5493819000
Red River Delta,,No,,,,No,,,No,,,0,0,0,29713880000
Red River Delta,,No,,,,No,,,No,,,0,3,,46182894000
Red River Delta,,No,,,,No,,,No,,,3,1,1,6630399000
Red River Delta,,No,,,,No,,,No,,,1,1,0,32005813000
Red River Delta,,No,,,,No,,,No,,,0,1,2,7612126000
Red River Delta,,No,,,,No,,,No,,,3,0,0,19586777000
Red River Delta,,No,,,,No,,,No,,,3,0,0,309575000
Red River Delta,,No,,,,No,,,No,,,3,0,0,52809591000
Red River Delta,10,Yes,2,301,7,Yes,5,,No,,,3,1,2,4451695000
Red River Delta,,Yes,1,1,,No,,,No,,,0,2,0,6354287000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,0,Yes,30,,Yes,15,3,3,1,1,81000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,,,,No,,,No,,,3,2,2,27000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,1000060000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,21110152000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,275000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,2500000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,1000000000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,6000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,,Yes,90,,No,,,1,3,2,380000000000
Northern Midlands and Mountains,,Yes,0,,,Yes,1,,No,,,0,1,0,60000000000
Northern Midlands and Mountains,30,Yes,1,300,,Yes,5,7,No,,,1,1,1,238000000000
